"","x"
"1",17.6
"2",17.75
"3",18.17
"4",17.2
"5",17
"6",16.38
"7",17.15
"8",17.48
"9",17.2
"10",17.05
"11",17.05
"12",16.88
"13",17.03
"14",16.71
"15",16.83
"16",17.21
"17",16.93
"18",17.53
"19",16.98
"20",15
"21",16.58
"22",16.28
"23",17.25
"24",17.18
"25",17.35
"26",17.7
"27",17.41
"28",17.3
"29",17.53
"30",16.45
"31",17.88
"32",17.5
"33",17
"34",16.93
"35",17.83
"36",17.15
"37",16.32
"38",15.58
"39",15.34
"40",15.34
"41",16.83
"42",17.63
"43",17.43
"44",17.58
"45",17.83
"46",18.55
"47",16.26
"48",16.58
"49",16.88
"50",17.53
"51",18
"52",18.08
"53",17.98
"54",16.4
"55",17.5
"56",17.33
"57",17.5
"58",16.5
"59",17.9
"60",16.25
"61",16.83
"62",16.08
"63",15
"64",16.33
"65",17.06
"66",18.03
"67",17.78
"68",17.63
"69",18.46
"70",17.45
"71",18.3
"72",18.1
"73",17.7
"74",16.81
"75",17.73
"76",17.1
"77",19.22
"78",16.25
"79",16.63
"80",17.8
"81",17.1
"82",15.58
"83",15.58
"84",11.87
"85",11.85
"86",11.27
"87",13
"88",15
"89",15.64
"90",14.32
"91",15.25
"92",16
"93",16.58
"94",16.6
"95",16.74
"96",17.23
"97",17.29
"98",16.88
"99",14.33
"100",16.63
"101",16.62
"102",15.59
"103",15.63
"104",16.9
"105",17.63
"106",17.68
"107",17.83
"108",17.58
"109",17.4
"110",17.78
"111",16.74
"112",16.5
"113",17.23
"114",17.18
"115",16.67
"116",19.02
"117",16.6
"118",16
"119",15
"120",16
"121",15.25
"122",16.33
"123",11.44
"124",12.14
"125",11.67
"126",11.73
"127",13
"128",14.99
"129",15.08
"130",14.58
"131",14.91
"132",17.2
"133",16.45
"134",17.11
"135",16.78
"136",17.21
"137",17
"138",16.85
"139",16.66
"140",17.03
"141",16.68
"142",16.78
"143",15.34
"144",15.99
"145",16.55
"146",15.34
"147",15.34
"148",16.33
"149",17.06
"150",16.82
"151",16.93
"152",17.8
"153",18.1
"154",18.3
"155",17.53
"156",17.26
"157",17.63
"158",17.4
"159",17.75
"160",18
"161",17.43
"162",16.63
