"plotid","error","value"
"1",0,6212.32272712816
"10",0,6002.58779930784
"100",0,6204.33990837287
"1000",0,5887.10279762529
"1001",0,5690.85895198536
"1002",0,5552.59447925435
"1003",0,5308.16573783683
"1004",0,5318.07771726251
"1005",0,5320.54209623484
"1006",0,5181.56765941481
"1007",0,5230.25521337089
"1008",0,5174.60486860301
"1009",0,5212.31016076348
"101",0,6126.2660243792
"1010",0,4853.52691898562
"1011",0,4286.66252549131
"1012",0,4266.97911387731
"1013",0,4623.31534648175
"1014",0,5514.91962592917
"1015",0,5525.03476303051
"1016",0,5443.92158222046
"1017",0,5359.82142937877
"1018",0,5389.37492208872
"1019",0,5453.15169850749
"102",0,6148.14876915295
"1020",0,5556.19579468139
"1021",0,5467.93434660252
"1022",0,5507.09777216581
"1023",0,5539.35889087172
"1024",0,5594.54704306635
"1025",0,5709.38636979406
"1026",0,5576.68301795296
"1027",0,5559.59670592045
"1028",0,5660.55254213002
"1029",0,5741.87777334996
"103",0,6102.92853207991
"1030",0,5808.72151047904
"1031",0,5835.12815494244
"1032",0,5847.02777860584
"1033",0,5958.86174086113
"1034",0,5937.30656558908
"1035",0,5677.35218375599
"1036",0,5341.56650459519
"1037",0,5238.99889437101
"1038",0,5290.05316602445
"1039",0,5309.46969048028
"104",0,6127.6625204156
"1040",0,5298.28692242951
"1041",0,5101.85181355435
"1042",0,5205.07393996306
"1043",0,4601.89806886765
"1044",0,5413.83454852148
"1045",0,5616.4305198376
"1046",0,5521.01464413682
"1047",0,5426.52500361492
"1048",0,4892.53819358617
"1049",0,5470.48175724703
"105",0,5563.09090835407
"1050",0,5522.21745864724
"1051",0,5476.6226738443
"1052",0,5568.72442129208
"1053",0,5618.19042111176
"1054",0,5661.21974441319
"1055",0,5658.57791847234
"1056",0,5635.2219762866
"1057",0,5553.24572079737
"1058",0,5642.51176363893
"1059",0,5759.11083416767
"106",0,5948.48721181515
"1060",0,5781.93131654526
"1061",0,5810.25474644279
"1062",0,5706.39617310435
"1063",0,5163.4062258771
"1064",0,5118.85292736418
"1065",0,5534.48752554538
"1066",0,5341.26914726532
"1067",0,5301.01237745894
"1068",0,5596.94688056446
"1069",0,5432.96166085756
"107",0,5397.02905448352
"1070",0,5394.88373717584
"1071",0,4853.5003585287
"1072",0,4488.31420735144
"1073",0,5431.68609973202
"1074",0,5563.04878166037
"1075",0,5621.57976953149
"1076",0,5747.5216731988
"1077",0,5734.75948172889
"1078",0,5654.8478920954
"1079",0,5732.31493637094
"108",0,5854.04937622364
"1080",0,5732.91924059438
"1081",0,5777.77981791657
"1082",0,5228.87106355257
"1083",0,5291.83955147074
"1084",0,5591.83182079407
"1085",0,5406.95640407916
"1086",0,5220.76784797386
"1087",0,5228.44663040142
"1088",0,5395.08988589084
"1089",0,5510.42602904183
"109",0,5881.73004279294
"1090",0,4734.42106405632
"1091",0,4574.06655389784
"1092",0,3979.9650052402
"1093",0,5513.0190400163
"1094",0,5865.68439439569
"1095",0,4692.83673404995
"1096",0,4712.41357366293
"1097",0,5244.70660548026
"1098",0,5197.47788950112
"1099",0,5199.89199796491
"11",0,5959.76483778086
"110",0,6199.61030837295
"1100",0,5455.02465553734
"1101",0,4771.57545631602
"1102",0,4403.67394952808
"1103",0,4112.76049711273
"1104",0,5571.11501168962
"111",0,6026.87515716513
"112",0,5842.01990781914
"113",0,5816.48199421773
"114",0,5613.76678017831
"115",0,5836.23563676325
"116",0,5818.05306972571
"117",0,5711.11022987733
"118",0,5718.45362305397
"119",0,5613.57461704914
"12",0,5940.20859004131
"120",0,5436.90728087716
"121",0,5742.73800554519
"122",0,5890.29387358359
"123",0,5762.49048855872
"124",0,5807.71234126409
"125",0,5758.30528931135
"126",0,5737.22634214309
"127",0,5709.89088559192
"128",0,5646.87618240669
"129",0,5712.73181105456
"13",0,6011.91002804278
"130",0,5600.01474723416
"131",0,5567.61582325095
"132",0,5643.62750868212
"133",0,5670.09636338503
"134",0,5796.94543688965
"135",0,5816.90098858794
"136",0,5844.32872536425
"137",0,5842.60159516147
"138",0,5516.16879490673
"139",0,6307.67525686831
"14",0,5894.18545128661
"140",0,6246.34253333636
"141",0,6200.51205927407
"142",0,5848.21278746424
"143",0,6078.24105682678
"144",0,6076.91590467554
"145",0,6067.71305540305
"146",0,5993.50398074249
"147",0,5971.47438947818
"148",0,6007.80445014399
"149",0,5995.89783878996
"15",0,5898.9508896257
"150",0,5879.59251670191
"151",0,5865.88944091901
"152",0,5850.56242815707
"153",0,5941.02549888747
"154",0,6011.02730740454
"155",0,5325.16154644429
"156",0,5875.78550117587
"157",0,5864.11663955216
"158",0,5709.77274312134
"159",0,5643.61473585981
"16",0,5878.33425614337
"160",0,5652.91235625904
"161",0,5627.04543562616
"162",0,5639.37137185521
"163",0,5640.18230030874
"164",0,5576.7693446411
"165",0,5573.17345141105
"166",0,5602.54243123058
"167",0,5671.32361819537
"168",0,5683.33270658755
"169",0,5668.46120172922
"17",0,5828.8048861906
"170",0,5605.51919907732
"171",0,5612.60118797684
"172",0,5626.16353406096
"173",0,5778.66526619867
"174",0,5573.23787246394
"175",0,5561.77162389809
"176",0,5679.04340430858
"177",0,5737.46434339993
"178",0,5696.47274909471
"179",0,5779.263400311
"18",0,5896.67328161776
"180",0,5799.10156259344
"181",0,5813.36877751197
"182",0,5824.50919489674
"183",0,5834.51528862119
"184",0,6350.97135001943
"185",0,6335.25444044749
"186",0,5877.37912639849
"187",0,5793.15404831853
"188",0,6184.81251381095
"189",0,6128.18977701368
"19",0,6228.61744045874
"190",0,6205.11487849326
"191",0,6278.00716357255
"192",0,6062.77097652966
"193",0,5944.03009808419
"194",0,5969.7263884865
"195",0,5946.55549042313
"196",0,5991.12040216159
"197",0,5860.77023243016
"198",0,5921.56669306164
"199",0,5920.6409252788
"2",0,6121.64130694486
"20",0,6112.71551666641
"200",0,5918.46468567963
"201",0,6014.81228792733
"202",0,5973.27949105893
"203",0,5796.59674267612
"204",0,5792.06673281665
"205",0,5739.04795183501
"206",0,5636.51390085065
"207",0,5586.46836856698
"208",0,5554.3882778189
"209",0,5541.06106027125
"21",0,6132.54906461225
"210",0,5503.59782617467
"211",0,5454.75805903541
"212",0,5507.03799815397
"213",0,5595.09815997712
"214",0,5609.89460846721
"215",0,5670.91354068848
"216",0,5139.15236001192
"217",0,5493.20640121626
"218",0,5522.37719291605
"219",0,5572.75508594191
"22",0,6046.02629657542
"220",0,5672.15022018003
"221",0,5679.38797887221
"222",0,5579.94893041693
"223",0,5647.97958862602
"224",0,5499.29935489397
"225",0,5747.25162231131
"226",0,5783.00197890961
"227",0,5801.08434018434
"228",0,5523.25858710994
"229",0,5836.93359751114
"23",0,5993.89551067302
"230",0,5770.53846833752
"231",0,6382.83327088238
"232",0,6266.26070109048
"233",0,5916.35746976683
"234",0,5867.9637691197
"235",0,5528.54313305967
"236",0,6206.84505504867
"237",0,6133.91800645146
"238",0,6055.19183802572
"239",0,6059.33568489951
"24",0,5907.95213410689
